Date : 2023-08-16 14:28:04
Directory : c:\kaio
Total : 87 files,  6673 codes, 1057 comments, 648 blanks, all 8378 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\Destination                                                       |         11 |        778 |        265 |         71 |      1,114 |
| lib\Handicraft                                                        |          2 |        118 |          0 |         13 |        131 |
| lib\Literature                                                        |          3 |        324 |         39 |         31 |        394 |
| lib\MainScreens                                                       |          5 |      1,666 |         17 |         73 |      1,756 |
| lib\data                                                              |          4 |      1,468 |          3 |         35 |      1,506 |
| lib\widgets                                                           |          9 |        374 |        231 |         75 |        680 |
| linux                                                                 |          5 |         98 |         27 |         38 |        163 |
| linux (Files)                                                         |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                         |          2 |         12 |          9 |         11 |         32 |
| macos                                                                 |          6 |        444 |          5 |         16 |        465 |
| macos\Flutter                                                         |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                          |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                  |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                     |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                               |          1 |        343 |          0 |          1 |        344 |
| web                                                                   |          2 |         73 |         16 |          7 |         96 |
| windows                                                               |         10 |        438 |         91 |        142 |        671 |
| windows\flutter                                                       |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                        |          8 |        427 |         82 |        131 |        640 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\kaio\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\kaio\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\kaio\android\app\build.gradle                                      | Groovy     |         55 |          5 |         13 |         73 |
| c:\kaio\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\kaio\android\app\src\main\AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| c:\kaio\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\kaio\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\kaio\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\kaio\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\kaio\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\kaio\android\build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| c:\kaio\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\kaio\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\kaio\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\kaio\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\kaio\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\kaio\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\kaio\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\kaio\lib\Cuisine\FlipCarousel.dart                                 | Dart       |         24 |          1 |          5 |         30 |
| c:\kaio\lib\Cuisine\cook.dart                                         | Dart       |         66 |         71 |         30 |        167 |
| c:\kaio\lib\Cuisine\recipe.dart                                       | Dart       |        128 |        118 |         15 |        261 |
| c:\kaio\lib\Culture\CultureSelection.dart                             | Dart       |         48 |         36 |          6 |         90 |
| c:\kaio\lib\Culture\Gallery.dart                                      | Dart       |         49 |          1 |          6 |         56 |
| c:\kaio\lib\Destination\Container.dart                                | Dart       |         20 |          1 |          4 |         25 |
| c:\kaio\lib\Destination\DestinationSecondPage.dart                    | Dart       |          0 |        211 |          8 |        219 |
| c:\kaio\lib\Destination\Destinationdescription.dart                   | Dart       |        113 |          0 |          5 |        118 |
| c:\kaio\lib\Destination\Features.dart                                 | Dart       |         61 |          1 |          9 |         71 |
| c:\kaio\lib\Destination\Tab.dart                                      | Dart       |          0 |         46 |          4 |         50 |
| c:\kaio\lib\Destination\desttemplate.dart                             | Dart       |        167 |          1 |          9 |        177 |
| c:\kaio\lib\Destination\heritage.dart                                 | Dart       |        130 |          1 |          8 |        139 |
| c:\kaio\lib\Destination\pilgrim.dart                                  | Dart       |         91 |          1 |          6 |         98 |
| c:\kaio\lib\Destination\shrines.dart                                  | Dart       |         95 |          1 |          6 |        102 |
| c:\kaio\lib\Destination\treks.dart                                    | Dart       |         48 |          1 |          6 |         55 |
| c:\kaio\lib\Destination\wildlife.dart                                 | Dart       |         53 |          1 |          6 |         60 |
| c:\kaio\lib\Handicraft\DescriptionPaperMachie.dart                    | Dart       |         18 |          0 |          5 |         23 |
| c:\kaio\lib\Handicraft\PpaerMachie.dart                               | Dart       |        100 |          0 |          8 |        108 |
| c:\kaio\lib\Literature\Book.dart                                      | Dart       |        182 |         32 |         17 |        231 |
| c:\kaio\lib\Literature\BookTemplate.dart                              | Dart       |        118 |          1 |          7 |        126 |
| c:\kaio\lib\Literature\WidgetBookShape2.dart                          | Dart       |         24 |          6 |          7 |         37 |
| c:\kaio\lib\MainScreens\Cuisine.dart                                  | Dart       |        139 |          5 |         14 |        158 |
| c:\kaio\lib\MainScreens\Culture.dart                                  | Dart       |         11 |          4 |          5 |         20 |
| c:\kaio\lib\MainScreens\destinations.dart                             | Dart       |        197 |          1 |          8 |        206 |
| c:\kaio\lib\MainScreens\handicrafts.dart                              | Dart       |      1,193 |          6 |         35 |      1,234 |
| c:\kaio\lib\MainScreens\literature.dart                               | Dart       |        126 |          1 |         11 |        138 |
| c:\kaio\lib\constants.dart                                            | Dart       |          7 |          0 |          2 |          9 |
| c:\kaio\lib\data\cuisines.dart                                        | Dart       |        813 |          1 |          8 |        822 |
| c:\kaio\lib\data\destination.dart                                     | Dart       |        234 |          1 |         14 |        249 |
| c:\kaio\lib\data\handicrafts.dart                                     | Dart       |         70 |          1 |          6 |         77 |
| c:\kaio\lib\data\literature.dart                                      | Dart       |        351 |          0 |          7 |        358 |
| c:\kaio\lib\main.dart                                                 | Dart       |         98 |          1 |         11 |        110 |
| c:\kaio\lib\widgets\BookShape1.dart                                   | Dart       |         30 |         43 |          8 |         81 |
| c:\kaio\lib\widgets\CookCard.dart                                     | Dart       |         20 |          1 |          2 |         23 |
| c:\kaio\lib\widgets\CultureCard.dart                                  | Dart       |         99 |         14 |         21 |        134 |
| c:\kaio\lib\widgets\Recipe.dart                                       | Dart       |         61 |        165 |         21 |        247 |
| c:\kaio\lib\widgets\ReviewCard.dart                                   | Dart       |         19 |          2 |          3 |         24 |
| c:\kaio\lib\widgets\craft.dart                                        | Dart       |         31 |          1 |          6 |         38 |
| c:\kaio\lib\widgets\destinationFeature.dart                           | Dart       |         43 |          2 |          5 |         50 |
| c:\kaio\lib\widgets\selection.dart                                    | Dart       |         17 |          1 |          4 |         22 |
| c:\kaio\lib\widgets\travel_new.dart                                   | Dart       |         54 |          2 |          5 |         61 |
| c:\kaio\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| c:\kaio\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\kaio\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\kaio\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\kaio\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\kaio\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          6 |          3 |          4 |         13 |
| c:\kaio\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\kaio\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\kaio\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\kaio\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\kaio\pubspec.yaml                                                  | YAML       |         73 |         57 |         15 |        145 |
| c:\kaio\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\kaio\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\kaio\windows\flutter\generated_plugin_registrant.cc                | C++        |          6 |          4 |          5 |         15 |
| c:\kaio\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\kaio\windows\runner\flutter_window.cpp                             | C++        |         48 |          4 |         15 |         67 |
| c:\kaio\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\kaio\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\kaio\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\kaio\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\kaio\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\kaio\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\kaio\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                 |            |      6,673 |      1,057 |        648 |      8,378 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
